Primary auditory cortex,2
Secondary auditory cortex,0
Somatosensory area,36
Primary sensory cortex,15
Secondary sensory cortex,4
Brodmann area 6m,0
Brodmann area 28a,0
Brodmann area 28b,0
Corpus Striatum,4
Cingulate motor area,3
Caudal cingulate motor area,0
Rostral cingulate motor area,0
"Caudal cingulate motor area, dorsal bank",0
"Caudal cingulate motor area, ventral bank",0
Basolateral nuclear group,0
Corticomedial amygdaloid area,0
Central nuclear group,0
Central amygdaloid nucleus,8
Intercalate mass,0
Basal amygdaloid nucleus,0
"Basal amygdaloid nucleus, magnocellular part",0
Lateral amygdaloid nucleus,0
Anterior amygdaloid area,0
Suprageniculate nucleus,1
Anterior pulvinar nucleus,2
Medial pulvinar nucleus,0
"Lateral amygdaloid nucleus, ventral part",0
"Lateral amygdaloid nucleus, dorsal intermediate division",0
Olfactory field of entorhinal cortex,0
Rostral field of entorhinal cortex,0
Epithalamus,0
Pineal body,2
Pre-supplementary motor area,5
Intermediate field of entorhinal cortex,0
Dorsal premotor cortex,1
Rostral dorsal premotor,0
Caudal dorsal premotor,0
Ventral premotor,4
F1,77
F2,65
F3,19
F4,19
F5,3
F6,3
F7,0
Matelli-Luppino-Rizzolatti frontal area,0
"Ventral posterior lateral nucleus, caudal part",0
retrosplenial cortex,10
Anterodorsal thalamic nucleus,0
Anteroventral thalamic nucleus,0
Medial nuclear thalamic group,0
Ventroposterior nuclei,2
Ventroposterolateral thalamic nucleus,5
Supplementary eye field,0
Reticular formation,98
Substantia nigra pars compacta,4
Substantia nigra pars reticulata,2
Parabrachial nucleus,38
Ventral tegmental area,40
Olivary body,0
Area postrema,9
Cranial nerve nucleus,0
Medulla oblongata cranial nerve nuclei,0
Solitary nucleus,1
Hypoglossal nucleus,1
Dorsal motor nucleus of vagus nerve,0
Nucleus ambiguus,2
Midbrain cranial nerve nucleus,0
Edinger-Westphal nucleus,8
Trochlear nucleus,0
Pontine cranial nerve nucleus,0
Trigeminal motor nucleus,1
Abducens nucleus,0
Facial nucleus,1
Vestibular nucleus,4
Spinal trigeminal nucleus,70
Locus coeruleus,134
Medullary reticular formation,14
Paragigantocellular nucleus,3
Oral pontine reticular nucleus,0
Caudal pontine reticular nucleus,0
Frontal eye field,0
Visual association area,0
Visual area V2,0
Visual area V3,0
Interthalamic adhesion,0
Visual area V4,0
Visual area V6,0
Periamygdaloid cortex,0
Brodmann areas 12/47,0
Subicular complex,0
Subiculum,2
Presubiculum,1
Parasubiculum,0
Brodmann area 49,0
Ventrolateral oral thalamic nucleus,0
Brodmann area 24a,0
Brodmann area 24b,0
Brodmann area 24c,0
Head of caudate nucleus,0
Body of caudate nucleus,0
Genu of caudate nucleus,0
Economo-Koskinas area,0
Economo-Koskinas area FA,0
Economo-Koskinas area FB,0
Economo-Koskinas area FC,0
Economo-Koskinas area FD,0
Economo-Koskinas area FE,0
Economo-Koskinas area FF,0
Economo-Koskinas area FG,0
Economo-Koskinas area FH,0
Economo-Koskinas area FI,0
Economo-Koskinas area FK,0
Economo-Koskinas area FL,0
Economo-Koskinas area FM,0
Economo-Koskinas area FN,0
Brodmann area 7op,0
Brodmann area 7m,0
Brodmann area 12o,0
Brodmann area 8a,0
Brodmann area 8b,0
Brodmann area 46v,0
Brodmann area 12l,0
Monkey-only Brodmann area,0
Brodmann area 13,0
Brodmann area 14,0
Brodmann area 15,0
Brodmann area 16,0
Economo-Koskinas area LA,0
Economo-Koskinas area LB,0
Economo-Koskinas area LC,0
Economo-Koskinas area LD,0
Economo-Koskinas area LE,0
Economo-Koskinas area LF,0
Economo-Koskinas area IA,0
Economo-Koskinas area IB,0
Economo-Koskinas area IC,0
Economo-Koskinas area ID,0
Economo-Koskinas area PA,0
Economo-Koskinas area PB,0
Economo-Koskinas area PC,0
Economo-Koskinas area PD,0
Economo-Koskinas area PE,0
Economo-Koskinas area PF,0
Economo-Koskinas area PG,0
Economo-Koskinas area PH,0
Bonin-Bailey area,0
Economo-Koskinas area OA,0
Economo-Koskinas area OB,0
Economo-Koskinas area OC,0
Economo-Koskinas area TA,0
Economo-Koskinas area TB,0
Economo-Koskinas area TC,0
Economo-Koskinas area TD,0
Economo-Koskinas area TE,0
Economo-Koskinas area TH,0
Economo-Koskinas area TG,0
Economo-Koskinas area TI,0
Economo-Koskinas area TK,0
Lobus limbicus inferior,0
Economo-Koskinas area HA,0
Economo-Koskinas area HB,0
Economo-Koskinas area HC,0
Economo-Koskinas area HD,0
Economo-Koskinas area HE,0
Economo-Koskinas area HF,0
Economo-Koskinas area FAgamma,0
Economo-Koskinas area FAop,0
Economo-Koskinas area FBop,0
Economo-Koskinas area FCL,0
Economo-Koskinas area FCBm,0
Economo-Koskinas area FCI,0
Economo-Koskinas area FCop,0
Economo-Koskinas area FDm,0
Economo-Koskinas area FDp,0
Economo-Koskinas area FDop,0
Economo-Koskinas area FDL,0
Economo-Koskinas area FDdelta,0
Economo-Koskinas area FDgamma,0
Economo-Koskinas area FEL,0
Economo-Koskinas area FFa,0
Economo-Koskinas area FFtheta,0
Economo-Koskinas area FGi,0
Economo-Koskinas area FHL (parolfactor),0
Economo-Koskinas area FHL (limbica),0
Economo-Koskinas area FL1,0
Economo-Koskinas area FL2,0
Economo-Koskinas area FL3,0
Economo-Koskinas area FMt,0
Economo-Koskinas area LA1,0
Economo-Koskinas area LA2,0
Economo-Koskinas area LA3,0
Economo-Koskinas area LB1,0
Economo-Koskinas area LB2,0
Economo-Koskinas area LC1,0
Economo-Koskinas area LC2,0
Economo-Koskinas area LC3,0
Economo-Koskinas area LE1,0
Economo-Koskinas area LE2,0
Economo-Koskinas area LF1,0
Economo-Koskinas area LF2,0
Economo-Koskinas area IA1,0
Economo-Koskinas area IA2,0
Economo-Koskinas area IBT,0
Economo-Koskinas area PA1,0
Economo-Koskinas area PA2,0
Economo-Koskinas area PB1,0
Economo-Koskinas area PB2,0
Economo-Koskinas area PDE,0
Economo-Koskinas area PEm,0
Economo-Koskinas area PEp,0
Economo-Koskinas area PEgamma,0
Economo-Koskinas area PFt,0
Economo-Koskinas area PFop,0
Economo-Koskinas area PFcm,0
Economo-Koskinas area PHP,0
Economo-Koskinas area PHT,0
Economo-Koskinas area PHO,0
Economo-Koskinas area OA1,0
Economo-Koskinas area OA2,0
Economo-Koskinas area OAm,0
Economo-Koskinas area OBgamma,0
Economo-Koskinas area OBomega,0
Economo-Koskinas area TA1,0
Economo-Koskinas area TA2,0
Economo-Koskinas area TE1,0
Economo-Koskinas area TE2,0
Economo-Koskinas area THa,0
Economo-Koskinas area TGa,0
Economo-Koskinas area HA1,0
Economo-Koskinas area HA2,0
Economo-Koskinas area HA3,0
Economo-Koskinas area HB1,0
Economo-Koskinas area HB2,0
Economo-Koskinas area HD1,0
Economo-Koskinas area HD2,0
Economo-Koskinas area HD3,0
Economo-Koskinas area HE1alfa,0
Economo-Koskinas area HE1beta,0
Economo-Koskinas area HE2,0
Economo-Koskinas area HE3,0
Heterotypical cortex,0
Homotypical cortex,0
Agranular cortex,0
Koniocortex,0
Economo-Koskinas area FBA,0
Brodmann area 7a,0
Brodmann area 7b,0
Economo-Koskinas area TF,0
Area TEO,0
Piriform cortex,5
Brodmann area 3a,0
Brodmann area 3b,0
Temporal operculum,0
Area TS1,0
Area TS2,0
Area TS3,0
Visual area V4t,0
